Character Lookup Summary
========================
Total Unique Characters: 197
Total Mappings: 582

ం	(18 images)
ంచిమ	(1 images)
అ	(7 images)
అం	(5 images)
అః	(2 images)
అతి	(1 images)
అను	(1 images)
ఆ	(5 images)
ఇ	(5 images)
ఈ	(6 images)
ఉ	(4 images)
ఊ	(6 images)
ఋ	(5 images)
ఎ	(6 images)
ఏ	(3 images)
ఐ	(6 images)
ఒ	(3 images)
ఓ	(3 images)
ఔ	(6 images)
క	(4 images)
కం	(5 images)
కా	(2 images)
కి	(3 images)
కీ	(2 images)
కు	(4 images)
కె	(1 images)
కొ	(2 images)
కో	(1 images)
క్తి	(1 images)
క్రె	(1 images)
క్ష	(3 images)
ఖ	(1 images)
ఖి	(2 images)
ఖు	(1 images)
గ	(9 images)
గం	(5 images)
గతి	(1 images)
గా	(4 images)
గి	(1 images)
గిరి	(1 images)
గిలి	(1 images)
గీ	(2 images)
గు	(4 images)
గు దే	(1 images)
గూడు	(1 images)
గె	(1 images)
గొ	(1 images)
ఘ	(3 images)
ఘా	(3 images)
చ	(2 images)
చి	(2 images)
ఛ	(1 images)
జ	(2 images)
జా	(1 images)
జొ	(1 images)
ఝ	(1 images)
ట	(2 images)
టా	(3 images)
టి	(4 images)
టీ	(2 images)
టు	(3 images)
టూ	(3 images)
టె	(2 images)
టే	(2 images)
టొ	(2 images)
టో	(2 images)
ఠ	(2 images)
డ	(10 images)
డా	(1 images)
డి	(3 images)
డు	(3 images)
డే	(1 images)
ఢ	(1 images)
ణ	(1 images)
ణు	(2 images)
త	(9 images)
తం	(4 images)
తి	(8 images)
తు	(2 images)
తె	(1 images)
తో	(3 images)
త్త	(3 images)
త్వ	(1 images)
థ	(3 images)
థి	(1 images)
థూ	(1 images)
ద	(9 images)
ద తి	(1 images)
దం	(4 images)
దరి	(1 images)
ది	(2 images)
దిగె	(1 images)
దు	(4 images)
దూ	(2 images)
దృ	(2 images)
దె	(1 images)
దొ	(1 images)
ధ	(5 images)
ధా	(3 images)
ధి	(4 images)
ధు	(3 images)
న	(23 images)
నం	(2 images)
నా	(1 images)
నాడు	(1 images)
ని	(17 images)
ని కు	(1 images)
నియె	(1 images)
నీ	(5 images)
ను	(8 images)
నె	(3 images)
నే	(1 images)
ప	(1 images)
పా	(3 images)
పీ	(1 images)
పూజి	(1 images)
పొ	(1 images)
ఫ	(3 images)
బ	(1 images)
బు	(2 images)
బో	(1 images)
భ	(4 images)
భా	(3 images)
భి	(3 images)
భు	(2 images)
భో	(3 images)
మ	(7 images)
మం	(4 images)
మా	(2 images)
మి	(1 images)
ము	(4 images)
మూ	(1 images)
మె	(1 images)
మో	(1 images)
య	(7 images)
యత	(1 images)
యనా	(1 images)
యమే	(1 images)
యవ	(1 images)
యా	(1 images)
యి	(1 images)
యు	(1 images)
యై	(2 images)
య్వి	(1 images)
ర	(12 images)
రం	(3 images)
రని	(1 images)
రా	(3 images)
రి	(3 images)
రు	(3 images)
రూ	(1 images)
రొ	(3 images)
ర్మి	(1 images)
ర్వే	(1 images)
ల	(8 images)
లం	(3 images)
లా	(2 images)
లి	(4 images)
లు	(15 images)
లూచి	(1 images)
లె	(1 images)
లొ	(2 images)
లో	(1 images)
లోగె	(1 images)
ల్లు	(1 images)
ల్వు	(1 images)
ళ	(4 images)
ళా	(4 images)
ళి	(4 images)
ళు	(3 images)
వ	(8 images)
వం	(3 images)
వర	(1 images)
వల్ల	(1 images)
వా	(6 images)
వి	(5 images)
వీ	(3 images)
వీర	(1 images)
వె	(2 images)
వ్వి	(1 images)
శ	(7 images)
శం	(1 images)
శనీ	(1 images)
శి	(2 images)
శె	(1 images)
శే	(1 images)
షి	(1 images)
స	(2 images)
సా	(3 images)
సి	(1 images)
సు	(2 images)
సే	(2 images)
సో	(3 images)
హా	(2 images)
హీ	(1 images)
హు	(2 images)
హో	(1 images)
